,date,Mkt-RF,SMB,HML,RF
122,2017-10-06,-0.08,-0.08,-0.26,0.004
123,2017-10-09,-0.22,-0.28,0.0,0.004
124,2017-10-10,0.24,0.04,0.43,0.004
125,2017-10-11,0.16,-0.25,-0.19,0.004
126,2017-10-12,-0.18,-0.11,-0.52,0.004
127,2017-10-13,0.04,-0.3,0.1,0.004
128,2017-10-16,0.17,-0.29,0.33,0.004
129,2017-10-17,0.01,-0.34,-0.3,0.004
130,2017-10-18,0.14,0.35,0.22,0.004
131,2017-10-19,0.02,-0.35,0.18,0.004
132,2017-10-20,0.57,0.0,0.27,0.004
133,2017-10-23,-0.45,-0.36,0.18,0.004
134,2017-10-24,0.2,-0.11,0.5,0.004
135,2017-10-25,-0.51,0.05,0.16,0.004
136,2017-10-26,0.2,0.07,0.3,0.004
137,2017-10-27,0.82,-0.05,-0.96,0.004
138,2017-10-30,-0.46,-0.79,-0.04,0.004
139,2017-10-31,0.23,0.77,-0.25,0.004
140,2017-11-01,0.05,-0.8,0.08,0.004
141,2017-11-02,0.06,0.02,0.5,0.004
142,2017-11-03,0.31,-0.54,-0.72,0.004
143,2017-11-06,0.06,0.15,0.2,0.004
144,2017-11-07,-0.2,-1.43,-0.41,0.004
145,2017-11-08,0.12,-0.04,-0.59,0.004
146,2017-11-09,-0.41,0.0,0.24,0.004
147,2017-11-10,0.01,0.06,-0.42,0.004
148,2017-11-13,0.09,-0.29,0.09,0.004
149,2017-11-14,-0.22,-0.06,0.01,0.004
150,2017-11-15,-0.52,0.05,0.22,0.004
151,2017-11-16,1.01,0.85,-0.54,0.004
152,2017-11-17,-0.14,0.72,0.29,0.004
153,2017-11-20,0.21,0.62,0.02,0.004
154,2017-11-21,0.67,0.36,-0.33,0.004
155,2017-11-22,-0.05,0.08,-0.07,0.004
156,2017-11-24,0.21,0.01,-0.43,0.004
157,2017-11-27,-0.06,-0.3,0.01,0.004
158,2017-11-28,1.06,0.57,0.87,0.004
159,2017-11-29,0.02,0.35,1.51,0.004
160,2017-11-30,0.82,-0.61,-0.51,0.004
161,2017-12-01,-0.22,-0.32,0.38,0.004
162,2017-12-04,-0.1,-0.13,1.23,0.004
163,2017-12-05,-0.43,-0.47,-0.23,0.004
